                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                0.53801,                0.42199,                0.90291,                0.97231,                0.97593,                 0.9579,                0.79891,                0.74311,                0.48149,                   0.95,             0.00037424,             0.00037424,             0.00037424
                     97,                 0.5834,                0.43513,                 0.9144,                0.96525,                0.97593,                0.95839,                 0.8075,                0.69705,                0.45562,                0.93908,             0.00036049,             0.00036049,             0.00036049
                     98,                  0.523,                0.40675,                0.89299,                0.96888,                0.97593,                0.95925,                 0.8155,                0.68712,                0.45651,                 0.9427,             0.00034674,             0.00034674,             0.00034674
                     99,                0.49458,                0.43733,                 0.8147,                0.97247,                0.97593,                0.95993,                0.80642,                0.72746,                0.46895,                0.95271,             0.00033298,             0.00033298,             0.00033298
                    100,                0.54664,                0.40743,                0.90506,                0.97303,                0.97593,                0.96032,                0.80867,                0.68241,                0.46576,                 0.9364,             0.00031923,             0.00031923,             0.00031923
                    101,                0.55177,                0.41401,                0.89597,                0.97165,                0.97593,                0.95994,                0.81658,                0.66778,                0.45853,                 0.9367,             0.00030548,             0.00030548,             0.00030548
                    102,                0.71726,                0.60553,                 1.1317,                0.96638,                0.97593,                0.95906,                0.80949,                0.69679,                0.46802,                0.94823,             0.00029172,             0.00029172,             0.00029172
                    103,                0.51587,                0.42985,                0.91619,                0.96665,                0.97593,                0.95857,                 0.8095,                0.69722,                0.45722,                0.94343,             0.00027797,             0.00027797,             0.00027797
                    104,                0.54352,                 0.4052,                0.92364,                0.96734,                0.97593,                0.95861,                0.82481,                0.65283,                0.44371,                0.92772,             0.00026422,             0.00026422,             0.00026422
                    105,                0.51612,                0.40245,                 0.8911,                 0.9604,                0.97593,                0.95858,                0.81948,                0.66164,                0.45696,                0.93621,             0.00025047,             0.00025047,             0.00025047
                    106,                0.52392,                0.39838,                0.92536,                0.97035,                0.97593,                0.95894,                0.81451,                0.67354,                0.46148,                0.94333,             0.00023671,             0.00023671,             0.00023671
                    107,                0.52787,                 0.4048,                0.90727,                0.97058,                0.97593,                0.95921,                 0.8242,                0.66908,                0.46019,                0.94178,             0.00022296,             0.00022296,             0.00022296
                    108,                0.58038,                0.41651,                0.93037,                0.96881,                0.97593,                0.95882,                0.82178,                0.66695,                0.45276,                0.93475,             0.00020921,             0.00020921,             0.00020921
                    109,                 0.5218,                0.41799,                0.88101,                0.96717,                0.97593,                0.95868,                0.82186,                 0.6809,                0.45937,                0.93754,             0.00019546,             0.00019546,             0.00019546
                    110,                0.50266,                0.39663,                 0.9003,                0.96618,                0.97593,                0.95884,                0.82653,                0.66002,                0.44921,                0.93485,              0.0001817,              0.0001817,              0.0001817
                    111,                0.71856,                0.65157,                 1.0638,                0.96267,                0.97593,                0.95912,                0.82536,                0.65097,                0.45242,                0.92795,             0.00016795,             0.00016795,             0.00016795
                    112,                0.48869,                0.36834,                0.88415,                0.95871,                0.97593,                0.95895,                0.82607,                0.64906,                0.45473,                0.92603,              0.0001542,              0.0001542,              0.0001542
                    113,                0.49073,                0.37183,                0.88055,                0.96584,                0.97593,                0.95889,                0.82149,                 0.6601,                0.45992,                0.92475,             0.00014044,             0.00014044,             0.00014044
                    114,                0.45306,                0.35777,                0.86618,                0.95853,                0.97593,                0.95857,                0.82181,                0.66485,                0.45606,                0.92652,             0.00012669,             0.00012669,             0.00012669
                    115,                0.48868,                0.36747,                0.91068,                0.95851,                0.97593,                0.95851,                0.82492,                0.64993,                0.44861,                0.92322,             0.00011294,             0.00011294,             0.00011294
                    116,                0.49387,                0.40826,                0.90769,                0.95853,                0.97593,                0.95838,                0.82515,                0.64861,                0.44621,                0.92454,             9.9187e-05,             9.9187e-05,             9.9187e-05
                    117,                0.45758,                0.35039,                0.87537,                0.95877,                0.97593,                0.95835,                0.82663,                0.64952,                0.44765,                0.92502,             8.5434e-05,             8.5434e-05,             8.5434e-05
                    118,                 0.4572,                 0.3555,                0.87359,                0.95887,                0.97593,                0.95726,                 0.8292,                0.65381,                0.44736,                0.92734,             7.1681e-05,             7.1681e-05,             7.1681e-05
                    119,                0.50415,                0.54116,                0.92478,                0.95916,                0.97593,                0.95711,                0.82682,                0.65191,                0.44524,                0.92881,             5.7928e-05,             5.7928e-05,             5.7928e-05
                    120,                0.48736,                0.42184,                0.88676,                0.95902,                0.97593,                0.95786,                0.82516,                 0.6517,                0.44539,                0.93262,             4.4176e-05,             4.4176e-05,             4.4176e-05
